Payment_ID,Invoice_ID,Vendor_Name,Payment_Date,Due_Date,PO_Amount,Payment_Amount,Days_Overdue,Aging_Bucket,Is_Duplicate,Is_Overpayment,Is_Overdue
PMT-001,INV-1001,Gulf Supplies Co.,2025-01-05,2025-01-10,15000,15000,0,Current,N,N,N
PMT-002,INV-1002,TechPro Solutions,2025-01-08,2025-01-15,42000,42000,0,Current,N,N,N
PMT-003,INV-1003,Atlas Consulting,2025-01-10,2024-12-01,78000,78000,40,31-60 Days,Y,N,Y
PMT-004,INV-1004,Precision Engineering,2025-01-12,2025-01-20,125000,125000,0,Current,N,N,N
PMT-005,INV-1005,Al Jazeera Trading,2025-01-14,2025-01-05,9500,9500,9,1-30 Days,N,N,N
PMT-006,INV-1006,Digital Systems Inc.,2025-01-17,2025-01-25,33000,33000,0,Current,N,N,N
PMT-007,INV-1007,Falcon Logistics,2025-01-19,2024-11-20,67000,67000,60,61-90 Days,N,N,Y
PMT-008,INV-1008,Oasis Catering,2025-01-22,2025-01-30,4500,4500,0,Current,N,N,N
PMT-009,INV-1009,Summit Advisory,2025-01-24,2025-01-10,55000,63250,14,1-30 Days,N,Y,N
PMT-010,INV-1010,Metro Office Supplies,2025-01-27,2025-02-05,2800,2800,0,Current,N,N,N
PMT-011,INV-1011,Crescent IT Services,2025-01-29,2024-12-15,91000,91000,45,31-60 Days,N,N,Y
PMT-012,INV-1012,Horizon Contracting,2025-02-01,2025-02-10,180000,180000,0,Current,N,N,N
PMT-013,INV-1013,National Maintenance Co.,2025-02-03,2025-02-15,12000,12000,0,Current,N,N,N
PMT-014,INV-1014,Elite Security Services,2025-02-05,2025-02-01,27500,27500,4,1-30 Days,N,N,N
PMT-015,INV-1015,Green Energy Solutions,2025-02-07,2024-11-05,48000,48000,94,Over 90 Days,N,N,Y
PMT-016,INV-1016,Gulf Supplies Co.,2025-02-10,2025-02-20,31000,31000,0,Current,Y,N,N
PMT-017,INV-1017,TechPro Solutions,2025-02-12,2025-01-28,85000,85000,15,1-30 Days,N,N,N
PMT-018,INV-1003,Atlas Consulting,2025-02-14,2024-12-01,78000,78000,75,61-90 Days,Y,N,Y
PMT-019,INV-1018,Precision Engineering,2025-02-16,2025-02-25,145000,145000,0,Current,N,N,N
PMT-020,INV-1019,Al Jazeera Trading,2025-02-18,2025-02-28,19000,19000,0,Current,N,N,N
PMT-021,INV-1020,Digital Systems Inc.,2025-02-20,2024-12-22,52000,59800,60,61-90 Days,N,Y,Y
PMT-022,INV-1021,Falcon Logistics,2025-02-22,2025-03-01,73000,73000,0,Current,N,N,N
PMT-023,INV-1022,Oasis Catering,2025-02-25,2025-03-05,6200,6200,0,Current,N,N,N
PMT-024,INV-1023,Summit Advisory,2025-02-27,2025-02-10,110000,110000,17,1-30 Days,N,N,N
PMT-025,INV-1024,Metro Office Supplies,2025-03-01,2025-03-10,3400,3400,0,Current,N,N,N
PMT-026,INV-1025,Crescent IT Services,2025-03-03,2025-03-15,46000,46000,0,Current,N,N,N
PMT-027,INV-1026,Horizon Contracting,2025-03-05,2025-03-15,195000,195000,0,Current,N,N,N
PMT-028,INV-1027,National Maintenance Co.,2025-03-07,2025-02-20,8700,8700,15,1-30 Days,N,N,N
PMT-029,INV-1028,Elite Security Services,2025-03-10,2025-03-20,34000,34000,0,Current,N,N,N
PMT-030,INV-1029,Green Energy Solutions,2025-03-12,2025-02-25,62000,62000,15,1-30 Days,N,N,N
PMT-031,INV-1030,Gulf Supplies Co.,2025-03-14,2025-03-25,22000,22000,0,Current,N,N,N
PMT-032,INV-1031,TechPro Solutions,2025-03-17,2025-03-10,97000,97000,7,1-30 Days,N,N,N
PMT-033,INV-1032,Atlas Consulting,2025-03-19,2025-03-30,56000,56000,0,Current,N,N,N
PMT-034,INV-1033,Precision Engineering,2025-03-21,2025-04-01,168000,168000,0,Current,N,N,N
PMT-035,INV-1034,Al Jazeera Trading,2025-03-24,2025-03-15,14000,16100,9,1-30 Days,Y,Y,N
PMT-036,INV-1035,Digital Systems Inc.,2025-03-26,2025-04-05,41000,41000,0,Current,N,N,N
PMT-037,INV-1036,Falcon Logistics,2025-03-28,2025-03-05,88000,88000,23,1-30 Days,N,N,N
PMT-038,INV-1037,Oasis Catering,2025-03-31,2025-04-10,5100,5100,0,Current,N,N,N
PMT-039,INV-1038,Summit Advisory,2025-04-02,2025-04-15,72000,72000,0,Current,N,N,N
PMT-040,INV-1039,Metro Office Supplies,2025-04-04,2025-04-15,1800,1800,0,Current,N,N,N
PMT-041,INV-1040,Crescent IT Services,2025-04-07,2025-04-20,63000,63000,0,Current,N,N,N
PMT-042,INV-1041,Horizon Contracting,2025-04-09,2024-12-30,200000,200000,100,Over 90 Days,N,N,Y
PMT-043,INV-1042,National Maintenance Co.,2025-04-11,2025-04-20,10500,10500,0,Current,N,N,N
PMT-044,INV-1043,Elite Security Services,2025-04-14,2025-04-25,29000,29000,0,Current,N,N,N
PMT-045,INV-1044,Green Energy Solutions,2025-04-16,2025-04-10,38000,38000,6,1-30 Days,N,N,N
PMT-046,INV-1045,Gulf Supplies Co.,2025-04-18,2025-04-30,17500,17500,0,Current,N,N,N
PMT-047,INV-1046,TechPro Solutions,2025-04-21,2025-04-05,105000,105000,16,1-30 Days,N,N,N
PMT-048,INV-1047,Atlas Consulting,2025-04-23,2025-05-01,83000,83000,0,Current,N,N,N
PMT-049,INV-1048,Precision Engineering,2025-04-25,2025-05-05,155000,155000,0,Current,N,N,N
PMT-050,INV-1049,Al Jazeera Trading,2025-04-28,2025-05-10,21000,21000,0,Current,N,N,N
PMT-051,INV-1050,Digital Systems Inc.,2025-04-30,2025-05-10,47000,47000,0,Current,N,N,N
PMT-052,INV-1051,Falcon Logistics,2025-05-02,2025-05-15,69000,69000,0,Current,N,N,N
PMT-053,INV-1034,Al Jazeera Trading,2025-05-05,2025-03-15,14000,16100,51,31-60 Days,Y,Y,Y
PMT-054,INV-1052,Oasis Catering,2025-05-07,2025-05-15,7800,7800,0,Current,N,N,N
PMT-055,INV-1053,Summit Advisory,2025-05-09,2025-05-20,95000,95000,0,Current,N,N,N
PMT-056,INV-1054,Metro Office Supplies,2025-05-12,2025-05-05,4200,4200,7,1-30 Days,N,N,N
PMT-057,INV-1055,Crescent IT Services,2025-05-14,2025-05-25,58000,58000,0,Current,N,N,N
PMT-058,INV-1056,Horizon Contracting,2025-05-16,2025-05-30,175000,175000,0,Current,N,N,N
PMT-059,INV-1057,National Maintenance Co.,2025-05-19,2025-01-15,15000,17250,124,Over 90 Days,N,Y,Y
PMT-060,INV-1058,Elite Security Services,2025-05-21,2025-06-01,32000,32000,0,Current,N,N,N
PMT-061,INV-1059,Green Energy Solutions,2025-05-23,2025-06-05,44000,44000,0,Current,N,N,N
PMT-062,INV-1060,Gulf Supplies Co.,2025-05-26,2025-06-05,26000,26000,0,Current,N,N,N
PMT-063,INV-1061,TechPro Solutions,2025-05-28,2025-06-10,76000,76000,0,Current,N,N,N
PMT-064,INV-1062,Atlas Consulting,2025-05-30,2025-06-10,100000,100000,0,Current,N,N,N
PMT-065,INV-1063,Precision Engineering,2025-06-02,2025-06-15,138000,138000,0,Current,N,N,N
PMT-066,INV-1064,Al Jazeera Trading,2025-06-04,2025-06-15,11500,11500,0,Current,N,N,N
PMT-067,INV-1065,Digital Systems Inc.,2025-06-06,2025-06-20,36000,36000,0,Current,N,N,N
PMT-068,INV-1066,Falcon Logistics,2025-06-09,2025-06-20,81000,81000,0,Current,N,N,N
PMT-069,INV-1067,Oasis Catering,2025-06-11,2025-06-25,3900,3900,0,Current,N,N,N
PMT-070,INV-1068,Summit Advisory,2025-06-13,2025-06-25,115000,115000,0,Current,N,N,N
PMT-071,INV-1069,Metro Office Supplies,2025-06-16,2025-06-10,2500,2500,6,1-30 Days,N,N,N
